iter	MultiClass
0	0.9519377105
1	0.871700183
2	0.8186515572
3	0.7787575419
4	0.7530105995
5	0.717191899
6	0.7009493314
7	0.6859929871
8	0.6748015012
9	0.6653439186
10	0.6422929319
11	0.633105164
12	0.621259511
13	0.6127362655
14	0.6100931781
15	0.6073442229
16	0.5988669407
17	0.5926893239
18	0.5813423634
19	0.5731239531
20	0.5729701537
21	0.5622337513
22	0.5601780689
23	0.5552977929
24	0.5518932433
25	0.5475485627
26	0.5405919
27	0.5377564606
28	0.5341006743
29	0.5340164172
30	0.5262881194
31	0.5233341327
32	0.5206303852
33	0.5206193924
34	0.5206114607
35	0.5158596751
36	0.5098556161
37	0.5020168997
38	0.499887464
39	0.4944405011
40	0.4916514243
41	0.4877828994
42	0.4842360171
43	0.479965401
44	0.476453724
45	0.4705871366
46	0.4687224185
47	0.4639729133
48	0.4586366803
49	0.4553297716
50	0.4532154041
51	0.4446930848
52	0.4415463617
53	0.4383302008
54	0.4367761932
55	0.4334395157
56	0.4320635314
57	0.4290415662
58	0.4238795538
59	0.4203603559
60	0.4185371852
61	0.4152239539
62	0.4132448804
63	0.4108872082
64	0.4083690252
65	0.4056253182
66	0.4041370821
67	0.4024811139
68	0.3986664386
69	0.3969704098
70	0.3947395571
71	0.3926573657
72	0.3904854358
73	0.3883674015
74	0.3864671181
75	0.3853929877
76	0.3837390331
77	0.3814845629
78	0.3782435594
79	0.3770180162
80	0.3741643271
81	0.3715945044
82	0.3698121531
83	0.3678028094
84	0.3660999956
85	0.3648370359
86	0.3634170488
87	0.3618081608
88	0.3602077911
89	0.3590430336
90	0.357671988
91	0.3565287929
92	0.3553380892
93	0.3531204754
94	0.3514654912
95	0.349552411
96	0.3461915921
97	0.3450546438
98	0.3442309381
99	0.3425785333
100	0.3397621612
101	0.3393926747
102	0.3383940919
103	0.3366044242
104	0.3355993017
105	0.3348646606
106	0.3339621454
107	0.3329839921
108	0.332177701
109	0.3315703179
110	0.3299348371
111	0.3287851538
112	0.3274117253
113	0.3262286728
114	0.3245603878
115	0.3236509267
116	0.3218115641
117	0.3204935455
118	0.3198220124
119	0.319355585
120	0.3183156697
121	0.3170084507
122	0.3164887414
123	0.315070553
124	0.3143322633
125	0.3134627341
126	0.3130199353
127	0.312482186
128	0.3102800805
129	0.3097818318
130	0.3088698264
131	0.3078794942
132	0.3070257708
133	0.3057406479
134	0.3053913209
135	0.3034445797
136	0.3024795885
137	0.301771299
138	0.3004652452
139	0.2995571766
140	0.2984537168
141	0.2975049215
142	0.2960846484
143	0.2954834063
144	0.2945814629
145	0.2935785237
146	0.2928783675
147	0.2924744231
148	0.2922808869
149	0.2917809185
150	0.2913260094
151	0.2909111955
152	0.2904179365
153	0.289384435
154	0.2887479593
155	0.2876115874
156	0.286946169
157	0.2858256357
158	0.2847521969
159	0.2843319733
160	0.2837937823
161	0.283015254
162	0.2821629609
163	0.2812788053
164	0.2807385791
165	0.2804236392
166	0.2796323723
167	0.2789819785
168	0.2782220511
169	0.2779521942
170	0.2773262874
171	0.2763527781
172	0.2758633745
173	0.27562055
174	0.2750191465
175	0.2748312221
176	0.274416497
177	0.2737601007
178	0.2728371047
179	0.2722950472
180	0.271757927
181	0.2711397403
182	0.2703696895
183	0.2697988591
184	0.2691832258
185	0.2683147466
186	0.2677961766
187	0.2670232935
188	0.2664623389
189	0.2655876275
190	0.2650541109
191	0.2644607638
192	0.2640246497
193	0.2635699366
194	0.2631951446
195	0.2622913466
196	0.261702539
197	0.2609996179
198	0.260647772
199	0.2600558526
200	0.2593346009
201	0.2591933511
202	0.2587752788
203	0.2582862931
204	0.2582381323
205	0.257997933
206	0.2575006515
207	0.2571203631
208	0.2567082656
209	0.2563698349
210	0.2559431888
211	0.2554369984
212	0.2550030986
213	0.2548321713
214	0.2543497232
215	0.2541206535
216	0.2539308764
217	0.2534127016
218	0.2525817699
219	0.2522943585
220	0.2521220488
221	0.2517944285
222	0.2514332172
223	0.2509741986
224	0.2506454105
225	0.250547919
226	0.250175801
227	0.249944645
228	0.2493629893
229	0.2491024785
230	0.2487649808
231	0.2484522809
232	0.2482509517
233	0.2480839528
234	0.2477697324
235	0.2472540987
236	0.2470222853
237	0.2467785617
238	0.2463923854
239	0.2458915637
240	0.2455404059
241	0.2454507241
242	0.2451637167
243	0.2449155035
244	0.244609608
245	0.2442975369
246	0.2439556757
247	0.243780461
248	0.2434693396
249	0.243208542
250	0.2429731408
251	0.2426192255
252	0.2422968983
253	0.2417938236
254	0.2413599457
255	0.2409228901
256	0.2402102135
257	0.2395298277
258	0.2393750284
259	0.2388707628
260	0.2383462791
261	0.2380229624
262	0.2379016692
263	0.2376966526
264	0.2374763852
265	0.2369699211
266	0.2366185238
267	0.236354933
268	0.2360475502
269	0.2358380206
270	0.2356013359
271	0.2353479227
272	0.2350517911
273	0.2349074546
274	0.2346832656
275	0.2342324246
276	0.2340248266
277	0.2335780253
278	0.2333098846
279	0.2329389948
280	0.2325350147
281	0.2322609839
282	0.2319658306
283	0.2316653189
284	0.2314455052
285	0.2311820515
286	0.2307663345
287	0.2303183034
288	0.2300543408
289	0.2298229749
290	0.2294509053
291	0.2292736337
292	0.2288911155
293	0.2285735299
294	0.2284814092
295	0.2281940474
296	0.2278258723
297	0.2275458847
298	0.227006516
299	0.2268810243
