iter	Passed	Remaining
0	3939	1177945
1	7145	1064677
2	10620	1051467
3	13933	1031042
4	17310	1021297
5	20544	1006682
6	23767	994855
7	27011	985925
8	30420	983590
9	33595	974283
10	36943	970595
11	40125	963023
12	43455	959362
13	46457	949062
14	49641	943193
15	52902	939027
16	56383	938627
17	59904	938503
18	62735	927829
19	65995	923931
20	66521	883791
21	69504	878290
22	72584	874168
23	75963	873578
24	79323	872553
25	82886	873498
26	85942	868975
27	89241	866915
28	92412	863579
29	93041	837372
30	96659	838755
31	99831	836090
32	103194	834938
33	103679	811142
34	104316	789821
35	107234	786387
36	110655	786550
37	114177	787227
38	117428	785869
39	120703	784574
40	124320	785343
41	127609	783887
42	131338	784975
43	135216	786715
44	138396	784248
45	141767	782801
46	144620	778488
47	147666	775250
48	150654	771720
49	153634	768172
50	156815	765626
51	159964	762907
52	163303	761054
53	166849	760090
54	170315	758679
55	174001	758148
56	177617	757212
57	180682	753880
58	183696	750352
59	186873	747495
60	190407	746023
61	193681	743487
62	196798	740335
63	200660	739937
64	204041	737687
65	207372	735230
66	210906	733450
67	213919	729841
68	217397	727809
69	221043	726285
70	224102	722809
71	227858	721550
72	232334	722463
73	236895	723493
74	240987	722962
75	245041	722227
76	249089	721388
77	253134	720460
78	257000	718950
79	260263	715724
80	264509	715156
81	267838	712059
82	271521	709881
83	274800	706629
84	278312	703966
85	281471	700404
86	284917	697555
87	288134	694142
88	291116	690174
89	294540	687261
90	297694	683716
91	301046	680627
92	304731	678273
93	308172	675356
94	311589	672377
95	314932	669232
96	318365	666270
97	321910	663529
98	326084	662050
99	329586	659173
100	332369	654866
101	335426	651122
102	339151	648668
103	343127	646663
104	346540	643574
105	349941	640458
106	353287	637238
107	356677	634093
108	360497	631697
109	364502	629595
110	368430	627326
111	372131	624649
112	375816	621926
113	379323	618896
114	382995	616122
115	386373	612868
116	389266	608852
117	392601	605537
118	395928	602210
119	399406	599109
120	402902	596028
121	406427	592984
122	410121	590175
123	413642	587105
124	416904	583666
125	420040	580055
126	423687	577149
127	427542	574510
128	430922	571222
129	434605	568330
130	438685	565938
131	442345	562985
132	446276	560362
133	449230	556509
134	452563	553132
135	455644	549453
136	459116	546248
137	462691	543159
138	466114	539888
139	469485	536554
140	472891	533261
141	475597	529185
142	479093	525997
143	482365	522562
144	485991	519507
145	489402	516218
146	492799	512913
147	495823	509224
148	498724	505418
149	501934	501934
150	505088	498398
151	508679	495293
152	511714	491647
153	515075	488318
154	518956	485474
155	522647	482444
156	526281	479351
157	529897	476236
158	533419	473032
159	536666	469583
160	540242	466420
161	543722	463170
162	547218	459932
163	550324	456367
164	553590	452937
165	556926	449567
166	560494	446382
167	564177	443281
168	567686	440041
169	570709	436424
170	574252	433208
171	577249	429581
172	580742	426325
173	583896	422821
174	587441	419600
175	590721	416190
176	594156	412888
177	598044	409895
178	601080	406316
179	604767	403178
180	608535	400087
181	612553	397149
182	616306	394031
183	619622	390631
184	622830	387164
185	625821	383567
186	629137	380173
187	632625	376883
188	635706	373351
189	639137	370027
190	642575	366705
191	645819	363273
192	649159	359896
193	652713	356637
194	656183	353329
195	659171	349764
196	662734	346505
197	666072	343128
198	669411	339751
199	672779	336389
200	676199	333053
201	679284	329553
202	682704	326218
203	686041	322842
204	689388	319472
205	692974	316211
206	696489	312915
207	700196	309702
208	703640	306369
209	706711	302876
210	709775	299383
211	713053	295984
212	716433	292627
213	719033	288957
214	722351	285580
215	725694	282214
216	729189	278906
217	733127	275763
218	736924	272561
219	740351	269218
220	743580	265804
221	746403	262249
222	749648	258847
223	753091	255513
224	756322	252107
225	759511	248689
226	763064	245390
227	766243	241971
228	769180	238479
229	772058	234974
230	775247	231567
231	778610	228213
232	781907	224840
233	785188	221463
234	788415	218072
235	791809	214728
236	795055	211343
237	798234	207943
238	801552	204580
239	804886	201221
240	808086	197830
241	811236	194428
242	814267	191001
243	817498	187622
244	820592	184214
245	823750	180823
246	826962	177445
247	829865	174003
248	833237	170663
249	836476	167295
250	839996	163983
251	843404	160648
252	846462	157247
253	849405	153829
254	853079	150543
255	856290	147174
256	859278	143770
257	862633	140428
258	865712	137043
259	868369	133595
260	871534	130229
261	874361	126815
262	877693	123477
263	881189	120162
264	884376	116804
265	887532	113444
266	890981	110121
267	894274	106779
268	897612	103442
269	900744	100082
270	903850	96721
271	906906	93358
272	910464	90045
273	913509	86683
274	917060	83369
275	920263	80022
276	923577	76686
277	926923	73353
278	930144	70010
279	933541	66681
280	937083	63361
281	940094	60006
282	943511	56677
283	946882	53345
284	950210	50011
285	953382	46669
286	956789	43338
287	960013	40000
288	963184	36660
289	966343	33322
290	969774	29993
291	973541	26672
292	977085	23343
293	980861	20017
294	983967	16677
295	987388	13343
296	990035	10000
297	993047	6664
298	996321	3332
299	999285	0
